id,card_no,name,package_name,rarity,cost,attribute,pp_value,dp_value,signal_color,card_types,features,effect,image_url
BP01-086,BP01-086,如你,BP01-命运交锋,C,1,无,,,黄,战术牌 / 普通战术牌,信号球·黄,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·若我方侵蚀计数不小于对方，我方侵蚀计数-1。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-086.png
BP02-001,BP02-001,伊什梅尔·幻日,BP02-星海时溯,SR,8,空,9,2,,角色牌 / 升变角色牌,观测者 / 伊什梅尔,"升变条件 费用7以下的<伊什梅尔>&「费用上限7及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【出】【3任意信号球】：选择我方手牌1张费用不大于我方明费上限的不为空属性的升变角色，将其效果无效出场。根据其属性执行以下行动。
火属性：直到回合结束为止，该牌DP+1。
雷属性：直到回合结束为止，该牌的攻击不会被PP为3000及以下的角色阻挡。
暗属性：选择我方墓地1张该牌以外的角色，将其加入手牌。
冰属性：在不查看对方手牌的情况下选择其中1张，对方将其丢弃。
物理属性：直到下个回合结束为止，该牌PP+2000。",/card-images/BP02-001.png
BP02-002,BP02-002,伊什梅尔·幻日,BP02-星海时溯,SR,6,空,8,2,,角色牌,观测者 / 伊什梅尔,"【出】：公开我方手牌最多2张属性不同的升变角色，根据其属性执行以下行动。
火属性：直到回合结束为止，该牌可以攻击对方玩家。
雷属性：直到下个回合结束为止，该牌获得【突进】，PP-1000。
暗属性：选择1位玩家，将其牌组顶5张牌放置到墓地。
冰属性：抽1张牌。
物理属性：直到下个回合结束为止，该牌PP+2000。",/card-images/BP02-002.png
BP02-003,BP02-003,观测纪行,BP02-星海时溯,R,5,空,,,,战术牌 / 普通战术牌,,"该牌只能在我方战场存在《伊什梅尔·幻日》时才能使用。
选择我方手牌1张费用不大于我方明费上限的不为空属性的升变角色，将其效果无效出场。",/card-images/BP02-003.png
BP02-004,BP02-004,伊什梅尔·幻日,BP02-星海时溯,R,5,空,6,2,,角色牌,观测者 / 伊什梅尔,【出】丢弃1张手牌：公开我方牌组顶5张牌，选择其中任意数量的属性各不相同的升变角色，将其加入手牌。将剩余的牌加入牌组并洗切。,/card-images/BP02-004.png
BP02-005,BP02-005,伊什梅尔·幻日,BP02-星海时溯,R,4,空,4,2,,角色牌,观测者 / 伊什梅尔,"【永】：【充能0】。
【出】丢弃2张手牌：选择我方墓地1张不为空属性的升变角色，将其加入手牌。",/card-images/BP02-005.png
BP02-006,BP02-006,伊什梅尔·幻日,BP02-星海时溯,U,6,空,5,2,,角色牌,观测者 / 伊什梅尔,【出】：可以公开我方手牌1张火属性或暗属性的升变角色。若如此做，选择对方战场1张角色，直到回合结束为止，其PP-3000。,/card-images/BP02-006.png
BP02-007,BP02-007,伊什梅尔·幻日,BP02-星海时溯,U,5,空,6,2,,角色牌,观测者 / 伊什梅尔,【自】：该牌阻挡时，可以公开我方手牌1张雷属性或冰属性或物理属性的升变角色。若如此做，直到回合结束为止，该牌PP+2000。,/card-images/BP02-007.png
BP02-008,BP02-008,伊什梅尔·幻日,BP02-星海时溯,U,4,空,6,1,,角色牌,观测者 / 伊什梅尔,,/card-images/BP02-008.png
BP02-009,BP02-009,伊什梅尔·幻日,BP02-星海时溯,U,3,空,2,1,,角色牌,观测者 / 伊什梅尔,【永】：若该牌存在于我方战场或费用区，我方可以无视属性条件使用升变角色。（使用升变机制时仍需遵循卡牌属性条件）,/card-images/BP02-009.png
BP02-010,BP02-010,丽芙·极昼,BP02-星海时溯,SR,7,火,9,2,,角色牌 / 升变角色牌,丽芙 / 灰鸦小队·高级,"升变条件 费用为4的<丽芙>&「费用上限6及以上」
升变代价【2费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【永】：对方回合中，对方选择角色作为攻击对象时，若可以选择该角色，则必须选择该角色。（若存在复数可以作为攻击对象的该牌，则选择其中1张）
【自】【回合1】：我方的<丽芙>角色因效果或代价从战场放置到墓地时，可以消除【2任意信号球】。若如此做，选择我方手牌1张费用为4的《丽芙·极昼》，将其出场。(该牌因效果或代价从战场放置到墓地时也会发动）",/card-images/BP02-010.png
BP02-011,BP02-011,丽芙·极昼,BP02-星海时溯,SR,3,火,4,2,,角色牌,丽芙 / 灰鸦小队·高级,"【永】：【充能0】。
【起】【任意信号球】：将竖直状态的该牌从战场放置到墓地。若如此做，选择我方手牌或墓地1张费用为4的《丽芙·极昼》，将其出场。",/card-images/BP02-011.png
BP02-012,BP02-012,丽芙·极昼,BP02-星海时溯,R,7,火,6,2,,角色牌,丽芙 / 灰鸦小队·高级,"【永】：使用该牌时，可以将我方1张《丽芙·极昼》从战场放置到墓地。若如此做，该牌的费用变为4。
【出】丢弃1张手牌：直到回合结束为止，该牌可以攻击对方玩家。",/card-images/BP02-012.png
BP02-013,BP02-013,丽芙·极昼,BP02-星海时溯,R,4,火,8,2,,角色牌,丽芙 / 灰鸦小队·高级,"【永】：若我方战场的角色少于对方战场的角色，手牌的该牌的费用-1。
【自】：我方的1张费用为6及以下的火属性角色因战斗被破坏时，可以将该牌从战场放置到墓地。若如此做，改为不破坏。",/card-images/BP02-013.png
BP02-014,BP02-014,丽芙·极昼,BP02-星海时溯,R,5,火,4,2,,角色牌,丽芙 / 灰鸦小队·高级,"【永】：若我方战场的角色少于对方战场的角色，手牌的该牌的费用-1。
【起】将该牌从战场放置到墓地：选择我方战场1张《丽芙·极昼》，该回合结束时，将其竖直。",/card-images/BP02-014.png
BP02-015,BP02-015,丽芙·极昼,BP02-星海时溯,U,5,火,5,2,,角色牌,丽芙 / 灰鸦小队·高级,【自】【回合1】：我方的<丽芙>角色因效果或代价从战场放置到墓地时，抽2张牌，丢弃1张手牌。(该牌因效果或代价从战场放置到墓地时也会发动）,/card-images/BP02-015.png
BP02-016,BP02-016,丽芙·极昼,BP02-星海时溯,U,5,火,6,2,,角色牌,丽芙 / 灰鸦小队·高级,【自】【回合1】：我方的<丽芙>角色因效果或代价从战场放置到墓地时，选择我方战场1张火属性角色，直到回合结束为止，其PP+2000。(该牌因效果或代价从战场放置到墓地时也会发动）,/card-images/BP02-016.png
BP02-017,BP02-017,丽芙·极昼,BP02-星海时溯,U,4,火,4,1,,角色牌,丽芙 / 灰鸦小队·高级,【出】【1费】：若该牌从手牌出场，直到回合结束为止，该牌获得【突进】，PP+3000。该回合结束时，将该牌从战场放置到墓地。,/card-images/BP02-017.png
BP02-018,BP02-018,里·异火,BP02-星海时溯,U,5,火,4,2,,角色牌,灰鸦小队 / 里,【出】：直到回合结束为止，我方战场所有角色PP+1000。,/card-images/BP02-018.png
BP02-019,BP02-019,露西亚·鸦羽,BP02-星海时溯,R,5,冰,4,2,,角色牌,灰鸦小队 / 露西亚,【自】：该牌攻击时，可以丢弃手牌最多2张<灰鸦小队>，因此方法丢弃的牌每有1张，抽1张牌。,/card-images/BP02-019.png
BP02-020,BP02-020,永夜曙光,BP02-星海时溯,U,3,火,,,,战术牌 / 普通战术牌,,可以将我方1张《丽芙·极昼》从战场放置到墓地。若如此做，选择对方战场1张PP为5000及以下的角色，将其破坏。,/card-images/BP02-020.png
BP02-021,BP02-021,比安卡·晖暮,BP02-星海时溯,SR,9,暗,11,3,,角色牌,比安卡 / 清理部队,"【出】丢弃手牌2张暗属性的牌：选择对方战场1张角色，直到回合结束为止，其PP-5000。
晖【起】【回合1】消除2同色信号球：将该牌竖直。
暮【永】：【突进】。",/card-images/BP02-021.png
BP02-022,BP02-022,比安卡·晖暮,BP02-星海时溯,SR,8,暗,5.5,2,,角色牌,比安卡 / 清理部队,"晖（我方信号球区最下方的牌的费用为奇数时有效）【永】：手牌的该牌的费用-4。
暮（我方信号球区最下方的牌的费用为偶数时有效）【永】：【速攻】。",/card-images/BP02-022.png
BP02-022【冠军】,BP02-022【冠军】,比安卡·晖暮,PR-推广卡,PR,8,暗,15,2,,角色牌,比安卡 / 清理部队,"晖（我方信号球区最下方的牌的费用为奇数时有效）【永】：手牌的该牌的费用-4。
暮（我方信号球区最下方的牌的费用为偶数时有效）【永】：【速攻】。",/card-images/BP02-022【冠军】.png
BP02-023,BP02-023,比安卡·晖暮,BP02-星海时溯,R,4,暗,5,1,,角色牌,比安卡 / 清理部队,【自】：该牌攻击时，可以将我方手牌1张《比安卡·晖暮》放置到我方信号球区最下方。若如此做，直到回合结束为止，该牌PP+2000。该回合结束时，将因此方法放置到信号球区最下方的牌放置到墓地。,/card-images/BP02-023.png
BP02-024,BP02-024,比安卡·晖暮,BP02-星海时溯,U,5,暗,4.5,2,,角色牌,比安卡 / 清理部队,"【永】：信号球区的该牌的费用+1。
晖（我方信号球区最下方的牌的费用为奇数时有效）【起】【回合1】：将我方信号球区的牌按任意顺序排列。",/card-images/BP02-024.png
BP02-025,BP02-025,浊璃,BP02-星海时溯,U,4,暗,,,,道具牌 / 辅助机牌,,"晖【起】【回合1】横置该牌：选择我方信号球区最下方的牌，将其加入手牌。
暮【起】【回合1】横置该牌：可以将我方手牌1张《比安卡·晖暮》放置到我方信号球区最下方。若如此做，抽1张牌。该回合结束时，将因此方法放置到信号球区最下方的牌放置到墓地。",/card-images/BP02-025.png
BP02-026,BP02-026,拉弥亚·深谣 沉渊终局,BP02-星海时溯,SR,10,暗,8,3,,角色牌 / 升变角色牌,升格者 / 拉弥亚,"升变条件 竖直状态《拉弥亚·深谣 狂涛肇始》&「信号球区的《潮涌球》3张及以上」
升变代价【2费】将手牌或墓地的该牌重叠在对象上方出场，获得【速攻】。
【出】：选择我方墓地最多1张费用为4及以下的《拉弥亚·深谣》，将其出场。
【自】：该牌攻击时，可以将我方信号球区1张《潮涌球》放置到墓地。若如此做，选择我方墓地最多5张各不相同的<拉弥亚>角色，将其加入牌组并洗切。那之后，所有玩家将自己牌组顶5张牌放置到墓地。",/card-images/BP02-026.png
BP02-027,BP02-027,拉弥亚·深谣 狂涛肇始,BP02-星海时溯,SR,9,暗,9,2,,角色牌 / 升变角色牌,升格者 / 拉弥亚,"升变条件 《拉弥亚·深谣 强压层流》&「信号球区的《潮涌球》2张及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【出】【2任意信号球】：选择对方战场1张角色，直到回合结束为止，其PP-5000。
【自】：该牌离场时，可以丢弃2张手牌。若如此做，选择我方墓地1张费用为3及以下的《拉弥亚·深谣》，将其出场。",/card-images/BP02-027.png
BP02-028,BP02-028,拉弥亚·深谣  强压层流,BP02-星海时溯,SR,7,暗,15,2,,角色牌 / 升变角色牌,升格者 / 拉弥亚,"升变条件 费用6以下的<拉弥亚>&「信号球区的《潮涌球》1张及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【出】：公开我方牌组顶4张牌，选择其中最多1张<拉弥亚>角色加入手牌，选择其中最多1张暗属性的牌放置到墓地，将剩余的牌按任意顺序放置到牌组底。",/card-images/BP02-028.png
BP02-029,BP02-029,拉弥亚·深谣,BP02-星海时溯,R,3,暗,3,2,,角色牌,升格者 / 拉弥亚,"【永】：【充能0】。
【出】丢弃1张手牌：公开我方牌组顶2张牌，选择其中最多1张<拉弥亚>角色或《最终棋盘》加入手牌，将剩余的牌放置到墓地。",/card-images/BP02-029.png
BP02-030,BP02-030,拉弥亚·深谣,BP02-星海时溯,R,2,暗,1,0,,角色牌,升格者 / 拉弥亚,【自】：该牌从牌组放置到墓地时，可以丢弃2张手牌。若如此做，将该牌从墓地以横置状态出场。若对方战场的角色为4张及以上，改为将该牌从墓地出场。,/card-images/BP02-030.png
BP02-031,BP02-031,拉弥亚·深谣,BP02-星海时溯,U,6,暗,4.5,2,,角色牌,升格者 / 拉弥亚,"【自】：该牌从牌组放置到墓地时，选择我方战场最多1张<拉弥亚>角色，直到下个回合结束为止，其PP+1000。
【出】：选择我方费用区或墓地最多1张《潮涌球》，将其放置到我方信号球区最下方。",/card-images/BP02-031.png
BP02-032,BP02-032,拉弥亚·深谣,BP02-星海时溯,U,5,暗,6,2,,角色牌,升格者 / 拉弥亚,"【永】：若我方墓地的<拉弥亚>角色为10张及以上，该牌PP+1500。
【出】：将我方牌组顶3张牌放置到墓地。",/card-images/BP02-032.png
BP02-033,BP02-033,拉弥亚·深谣,BP02-星海时溯,U,4,暗,4,1,,角色牌,升格者 / 拉弥亚,【自】：该牌从牌组放置到墓地时，可以消除《红色信号球》。若如此做，选择我方战场最多1张<拉弥亚>角色，直到回合结束为止，其DP+1。,/card-images/BP02-033.png
BP02-034,BP02-034,最终棋盘,BP02-星海时溯,U,6,暗,,,,战术牌 / 普通战术牌,,选择我方墓地1张费用为6及以下的<拉弥亚>角色，将其出场。,/card-images/BP02-034.png
BP02-035,BP02-035,暗潮波动,BP02-星海时溯,U,5,暗,,,,战术牌 / 普通战术牌,,"该牌只能在我方战场存在<拉弥亚>角色时才能使用。
选择对方战场1张角色，直到回合结束为止，我方墓地的<拉弥亚>角色每有1张，其PP-1000。",/card-images/BP02-035.png
BP02-036,BP02-036,潮涌球,BP02-星海时溯,R,3,暗,,,,战术牌 / 瞬时战术牌,,"【永】：该牌可以从墓地使用。该牌的【瞬时】在主要阶段也可以发动。
【瞬时】公开我方牌组顶3张牌，选择其中最多1张<拉弥亚>角色牌加入手牌，将剩余的牌放置到墓地。将该牌放置到我方信号球区最下方。",/card-images/BP02-036.png
BP02-037,BP02-037,含英·檀心,BP02-星海时溯,SR,8,物理,7,2,,角色牌,机械教会 / 九龙商会 / 含英,"【起】【回合1】：从以下2项选择1项。
·若为该牌出场的回合，选择我方手牌或墓地1张《飞叶点翠》，将其装备。若如此做，选择我方费用区最多3张<含英>角色，将其竖直。
·可以将该牌下方的1张《飞叶点翠》放置到墓地并消除【2任意信号球】。若如此做，直到下个回合结束为止，该牌获得【贯通】，PP+1000。",/card-images/BP02-037.png
BP02-038,BP02-038,含英·檀心,BP02-星海时溯,SR,6,物理,8,2,,角色牌,机械教会 / 九龙商会 / 含英,"【起】【回合1】：从以下2项选择1项。
·选择我方手牌1张《飞叶点翠》，将其装备。
·可以将该牌下方的1张《飞叶点翠》放置到墓地。若如此做，选择我方手牌1张费用为3及以下的<含英>角色，将其出场。",/card-images/BP02-038.png
BP02-039,BP02-039,含英·檀心,BP02-星海时溯,R,5,物理,6,2,,角色牌,机械教会 / 九龙商会 / 含英,【出】丢弃1张手牌：公开我方牌组顶4张牌，选择其中最多1张<含英>角色或《飞叶点翠》加入手牌，将剩余的牌按任意顺序放置到牌组底。,/card-images/BP02-039.png
BP02-040,BP02-040,含英·檀心,BP02-星海时溯,R,3,物理,2,1,,角色牌,机械教会 / 九龙商会 / 含英,"【永】：该牌的卡牌名称在所有区域可以视为《飞叶点翠》。
【起】：选择我方战场其他1张《含英·檀心》，将竖直状态的该牌从战场放置到其下方。",/card-images/BP02-040.png
BP02-041,BP02-041,含英·檀心,BP02-星海时溯,U,7,物理,15,2,,角色牌,机械教会 / 九龙商会 / 含英,"【永】：【速攻】。
【永】：使用该牌时，可以将我方战场1张《飞叶点翠》放置到墓地。若如此做，该牌的费用-2。",/card-images/BP02-041.png
BP02-042,BP02-042,含英·檀心,BP02-星海时溯,U,6,物理,6,2,,角色牌,机械教会 / 九龙商会 / 含英,【出】：选择对方战场1张费用为2及以下的角色，将其破坏。若对方战场的角色为4张及以上，改为选择对方战场1张费用为5及以下的角色，将其破坏。,/card-images/BP02-042.png
BP02-043,BP02-043,含英·檀心,BP02-星海时溯,U,5,物理,6,2,,角色牌,机械教会 / 九龙商会 / 含英,"【永】：若该牌下方存在《飞叶点翠》，该牌获得【充能+1】。
【出】：选择我方战场其他1张<九龙商会>角色牌或<机械教会>角色牌，公开我方牌组顶2张牌，选择其中最多1张角色牌放置到其下方，将剩余的牌按任意顺序放置到牌组底。",/card-images/BP02-043.png
BP02-044,BP02-044,含英·檀心,BP02-星海时溯,U,4,物理,4,1,,角色牌,机械教会 / 九龙商会 / 含英,【永】：若该牌下方存在《飞叶点翠》，该牌PP+1500，DP+1。,/card-images/BP02-044.png
BP02-045,BP02-045,含英·檀心,BP02-星海时溯,U,4,物理,6,2,,角色牌,机械教会 / 九龙商会 / 含英,【永】：【充能0】。,/card-images/BP02-045.png
BP02-046,BP02-046,月寒一声,BP02-星海时溯,U,5,物理,,,,战术牌 / 普通战术牌,,"该牌只能在我方费用区的<含英>为3张及以上时才能使用。
选择对方战场1张PP为8000及以下的角色，将其破坏。
可以追加消除【2任意信号球】。若如此做，选择我方墓地1张《飞叶点翠》，将其加入手牌。",/card-images/BP02-046.png
BP02-047,BP02-047,飞叶点翠,BP02-星海时溯,R,3,物理,0.5,,,道具牌 / 装备牌,发簪,"（使用后可在主要阶段放置在装备角色下方，每张角色只能装备1张装备）
【出】：若装备角色为《含英·檀心》，直到回合结束为止，其获得【突进】。",/card-images/BP02-047.png
BP02-048,BP02-048,曲·启明,BP02-星海时溯,SR,8,冰,15,2,,角色牌 / 升变角色牌,曲 / 九龙商会,"升变条件 费用7以下的《曲·启明》
升变代价【3费】将手牌的该牌重叠在对象上方出场。
【出】：选择我方费用区和手牌任意数量的<万世铭>，将其放置到墓地。根据因此方法放置到墓地的<万世铭>的区域，执行以下行动。
  <费用区>  直到下个回合结束为止，该牌获得【速攻】，基本PP变为9999。
  <手牌> 公开我方牌组顶4张牌，选择其中最多2张牌加入手牌，将剩余的牌按任意顺序放置到牌组底。",/card-images/BP02-048.png
BP02-049,BP02-049,曲·启明,BP02-星海时溯,SR,4,冰,6,2,,角色牌,曲 / 九龙商会,"【出】：可以将我方费用区和墓地合计2张<万世铭>加入牌组并洗切。若如此做，直到回合结束为止，该牌获得【速攻】。
【自】【回合1】：该牌因战斗被破坏时，可以将我方手牌1张<万世铭>放置到墓地。若如此做，改为不破坏。",/card-images/BP02-049.png
BP02-050,BP02-050,曲·启明,BP02-星海时溯,R,6,冰,15,2,,角色牌,曲 / 九龙商会,"【出】：公开我方牌组顶5张牌，选择其中最多2张<万世铭>放置到墓地，洗切牌组。因此方法放置到墓地的<万世铭>每有1张，从以下2项选择最多1项。
·直到回合结束为止，该牌获得【速攻】。
·选择我方战场1张《曲·启明》，直到回合结束为止，其获得【充能+1】，PP+1000。",/card-images/BP02-050.png
BP02-051,BP02-051,曲·启明,BP02-星海时溯,R,6,冰,4.5,2,,角色牌,曲 / 九龙商会,【出】：可以将我方费用区和墓地合计最少1张<万世铭>加入牌组并洗切。若如此做，选择我方费用区最多2张《曲·启明》，将其竖直。若因此方法加入牌组的<万世铭>为2张及以上，选择对方战场1张费用为3及以下的角色，将其横置。,/card-images/BP02-051.png
BP02-052,BP02-052,曲·启明,BP02-星海时溯,U,4,冰,5,2,,角色牌,曲 / 九龙商会,"【永】：我方回合中，我方费用区的<万世铭>每有1张，该牌PP+500。
【自】：该牌的攻击结束时，可以消除【3任意信号球】，若如此做，公开我方牌组1张《曲·启明》或<万世铭>，洗切牌组。那之后，将因此方法公开的牌放置到牌组顶。",/card-images/BP02-052.png
BP02-053,BP02-053,曲·启明,BP02-星海时溯,U,4,冰,4,2,,角色牌,曲 / 九龙商会,"【永】：【充能0】。
【自】：该牌攻击时，可以将我方墓地最少1张<万世铭>加入牌组并洗切。若如此做，直到回合结束为止，该牌获得【充能+1】。若因此方法加入牌组的<万世铭>为2张及以上，直到下个回合结束为止，该牌PP+2000。",/card-images/BP02-053.png
BP02-054,BP02-054,曲·启明,BP02-星海时溯,U,4,冰,4,1,,角色牌,曲 / 九龙商会,【出】：公开我方牌组顶1张牌，若其为<曲>角色，可以将其加入手牌。若如此做，丢弃1张手牌。,/card-images/BP02-054.png
BP02-055,BP02-055,启星册魂,BP02-星海时溯,U,1,冰,,,,战术牌 / 普通战术牌,,"该牌只能在我方战场存在《曲·启明》时才能使用。
选择我方牌组1张<万世铭>，将其放置到墓地。那之后，选择我方战场1张《曲·启明》，直到下个回合结束为止，其PP+1000。",/card-images/BP02-055.png
BP02-056,BP02-056,薇拉·绯耀,BP02-星海时溯,SR,7,雷,5.5,2,,角色牌 / 升变角色牌,三头犬小队 / 薇拉,"升变条件 费用6以下的<薇拉>&「费用上限6及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【起】【回合1】【2任意信号球】：选择我方战场1张费用为2及以下的<三头犬小队>角色，直到回合结束为止，其获得【速攻】，PP+2000，基本DP变为1。",/card-images/BP02-056.png
BP02-057,BP02-057,21号·森息,BP02-星海时溯,SR,5,雷,8,2,,角色牌 / 升变角色牌,21号 / 三头犬小队,"升变条件 费用5以下的<21号>&「明费上限5及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【出】：抽2张牌，丢弃2张手牌。
【出】【2任意信号球】：选择我方墓地1张费用为2及以下的<薇拉>角色或<诺克提>角色，将其出场。",/card-images/BP02-057.png
BP02-058,BP02-058,诺克提·擎驱,BP02-星海时溯,R,6,雷,8,2,,角色牌 / 升变角色牌,诺克提 / 三头犬小队,"升变条件 费用5以下的<诺克提>&「费用上限5及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【出】：若我方战场的雷属性角色为2张及以上，选择对方战场1张角色，直到回合结束为止，其失去能力，不能获得新能力。",/card-images/BP02-058.png
BP02-059,BP02-059,薇拉·绯耀,BP02-星海时溯,R,5,雷,4,2,,角色牌,三头犬小队 / 薇拉,【出】丢弃手牌1张费用为2及以下的<三头犬小队>角色：抽2张牌。,/card-images/BP02-059.png
BP02-060,BP02-060,21号·森息,BP02-星海时溯,R,4,雷,5,1,,角色牌,21号 / 三头犬小队,【永】：若我方费用上限不大于对方，手牌和战场的该牌的费用-1。,/card-images/BP02-060.png
BP02-061,BP02-061,21号·森息,BP02-星海时溯,U,6,雷,8,2,,角色牌,21号 / 三头犬小队,"【出】：从以下2项选择1项。若我方战场的<三头犬小队>角色为3张及以上，改为选择2项。
·直到回合结束为止，该牌获得【速攻】。
·选择我方战场1张<三头犬小队>角色，直到回合结束为止，其基本DP变为1。",/card-images/BP02-061.png
BP02-062,BP02-062,薇拉·绯耀,BP02-星海时溯,U,3,雷,2.5,0,,角色牌,三头犬小队 / 薇拉,【自】：该牌攻击时，选择我方战场1张<三头犬小队>角色，直到回合结束为止，其PP+1000。,/card-images/BP02-062.png
BP02-063,BP02-063,21号·森息,BP02-星海时溯,U,2,雷,2.5,1,,角色牌,21号 / 三头犬小队,【自】：该牌横置时，抽1张牌，丢弃1张手牌。,/card-images/BP02-063.png
BP02-064,BP02-064,诺克提·擎驱,BP02-星海时溯,U,3,雷,4,1,,角色牌,诺克提 / 三头犬小队,,/card-images/BP02-064.png
BP02-065,BP02-065,胜光战旗,BP02-星海时溯,U,5,雷,,,,战术牌 / 普通战术牌,,直到回合结束为止，我方战场所有费用为2及以下的<三头犬小队>角色获得【充能1】，PP+2000，基本DP变为1。,/card-images/BP02-065.png
BP02-066,BP02-066,万事·明晰梦,BP02-星海时溯,SR,9,冰,11,2,,角色牌 / 升变角色牌,突击鹰小队 / 万事,"升变条件 费用9以下的<万事>&「费用上限9及以上」
升变代价【4费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【出】消除2同色信号球：若对方战场不存在冰冻状态的角色，选择对方战场1张角色，将其横置并冰冻。（处于冰冻状态的卡牌在其操控玩家下个回合的竖直阶段无法因规则竖直）
【出】：若该牌为升变出场，选择对方信号球区最多1张信号球，直到下个回合结束为止，其不能被消除。",/card-images/BP02-066.png
BP02-067,BP02-067,万事·明晰梦,BP02-星海时溯,SR,6,冰,4.5,2,,角色牌 / 升变角色牌,突击鹰小队 / 万事,"升变条件 费用5以下的<万事>&「明费上限5及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】。
【出】【2任意信号球】：若对方战场不存在冰冻状态的角色，选择对方战场1张角色，将其冰冻。（处于冰冻状态的卡牌在其操控玩家下个回合的竖直阶段无法因规则竖直）
【永】：若该牌为横置状态，对方只要不额外支付【1费】则不能在横置状态的角色上方进行升变。",/card-images/BP02-067.png
BP02-068,BP02-068,万事·明晰梦,BP02-星海时溯,R,6,冰,15,2,,角色牌,突击鹰小队 / 万事,"【永】：使用该牌时，若对方战场存在冰冻状态的角色，该牌的费用-2。
【永】：【突进】。",/card-images/BP02-068.png
BP02-069,BP02-069,万事·明晰梦,BP02-星海时溯,R,5,冰,6,2,,角色牌,突击鹰小队 / 万事,"【出】：将我方信号球区的牌按任意顺序排列。
【自】：该牌因战斗被破坏时，可以公开我方手牌2张<万事>。若如此做，选择对方战场1张费用为6及以下的角色，将其冰冻。（处于冰冻状态的卡牌在其操控玩家下个回合的竖直阶段无法因规则竖直）",/card-images/BP02-069.png
BP02-070,BP02-070,万事·明晰梦,BP02-星海时溯,R,4,冰,4,1,,角色牌,突击鹰小队 / 万事,"【永】：【充能0】。
【出】【2任意信号球】：可以公开我方手牌2张<万事>。若如此做，选择对方战场1张费用为5及以下的角色，将其冰冻。（处于冰冻状态的卡牌在其操控玩家下个回合的竖直阶段无法因规则竖直）",/card-images/BP02-070.png
BP02-071,BP02-071,万事·明晰梦,BP02-星海时溯,U,6,冰,8,2,,角色牌,突击鹰小队 / 万事,【自】：该牌攻击时，若对方战场存在冰冻状态的角色，选择对方战场1张费用为3及以下的角色，将其返回手牌。,/card-images/BP02-071.png
BP02-072,BP02-072,万事·明晰梦,BP02-星海时溯,U,5,冰,6,2,,角色牌,突击鹰小队 / 万事,【自】：该牌攻击时，若对方战场存在冰冻状态的角色，直到回合结束为止，该牌PP+2000。,/card-images/BP02-072.png
BP02-073,BP02-073,万事·明晰梦,BP02-星海时溯,U,4,冰,6,1,,角色牌,突击鹰小队 / 万事,,/card-images/BP02-073.png
BP02-074,BP02-074,万事·明晰梦,BP02-星海时溯,U,3,冰,2.5,1,,角色牌,突击鹰小队 / 万事,【出】：若对方战场存在冰冻状态的角色，抽1张牌。,/card-images/BP02-074.png
BP02-075,BP02-075,狙杀,BP02-星海时溯,U,4,冰,,,,战术牌 / 普通战术牌,,若我方战场的《万事·明晰梦》为2张及以上，选择对方战场1张冰冻状态的角色，将其破坏。,/card-images/BP02-075.png
BP02-076,BP02-076,瑞雪,BP02-星海时溯,U,2,冰,,,,道具牌 / 辅助机牌,,【起】将该牌从战场放置到墓地：可以公开我方手牌2张<万事>。若如此做，选择对方战场1张费用为5及以下的角色，将其冰冻。,/card-images/BP02-076.png
BP02-077,BP02-077,塞壬,BP02-星海时溯,U,5,暗,4,2,,角色牌,,"【永】：【充能0】。
【永】：【同命】（持有【同命】能力的角色的攻击结束时，可以将该角色破坏。若如此做，将该次攻击中与该角色发生战斗的角色破坏）",/card-images/BP02-077.png
BP02-078,BP02-078,喷涂机械,BP02-星海时溯,U,4,物理,2,1,,角色牌,,"【永】：【充能0】。
【永】：【同命】（持有【同命】能力的角色的攻击结束时，可以将该角色破坏。若如此做，将该次攻击中与该角色发生战斗的角色破坏）",/card-images/BP02-078.png
BP02-079,BP02-079,武藏玖型,BP02-星海时溯,U,4,火,2,1,,角色牌,,"【永】：【充能0】。
【永】：【同命】（持有【同命】能力的角色的攻击结束时，可以将该角色破坏。若如此做，将该次攻击中与该角色发生战斗的角色破坏）",/card-images/BP02-079.png
BP02-080,BP02-080,华胥,BP02-星海时溯,U,4,冰,2,1,,角色牌,,"【永】：【充能0】。
【永】：【同命】（持有【同命】能力的角色的攻击结束时，可以将该角色破坏。若如此做，将该次攻击中与该角色发生战斗的角色破坏）",/card-images/BP02-080.png
BP02-081,BP02-081,光辉行进者,BP02-星海时溯,U,5,雷,4,2,,角色牌,,"【永】：【充能0】。
【永】：【同命】（持有【同命】能力的角色的攻击结束时，可以将该角色破坏。若如此做，将该次攻击中与该角色发生战斗的角色破坏）",/card-images/BP02-081.png
